,milage,accident,clean_title,price,horsepower,price_group,fuel_type_diesel,fuel_type_e85 flex fuel,fuel_type_electric,fuel_type_gasoline,fuel_type_hybrid,fuel_type_hydrogen,fuel_type_plug-in hybrid,transmission_category_automatic,transmission_category_manual
202,0.943466338326371,False,True,12000.0,-0.6750576883280301,2,False,False,False,True,False,False,False,True,False
203,-1.24120116862827,False,False,429998.0,1.3222914172139484,1,False,False,False,True,False,False,False,False,True
204,-0.7848812161162226,False,True,33600.0,0.8947151865365486,2,False,False,False,True,False,False,False,True,False
205,-1.2379069865041736,False,False,99950.0,1.019300335335325,2,False,False,False,True,False,False,False,True,False
206,-0.9812258299610737,False,False,61900.0,1.6252824990925718,1,False,False,False,True,False,False,False,False,True
207,-0.9927554673954112,False,True,18500.0,-1.2593620361942899,0,False,False,False,True,False,False,False,True,False
208,-1.0627663035730468,False,False,119900.0,0.26182263063876615,2,False,False,False,True,False,False,False,True,False
209,-0.3236767866615495,False,False,65998.0,1.5495347286229162,1,False,False,False,True,False,False,False,True,False
210,0.9000740082779283,True,True,36000.0,0.9732038302797774,2,False,False,False,True,False,False,False,True,False
212,-0.29832672997094534,False,True,32000.0,0.5022719678204038,2,False,False,False,True,False,False,False,True,False
213,1.5427992320190185,False,True,3900.0,-0.4744755987620006,1,False,False,False,True,False,False,False,True,False
214,-0.5330845365157484,True,True,31750.0,0.022619144945115948,2,False,False,False,True,False,False,False,True,False
215,0.2814303917888534,False,True,28500.0,-0.7012205695757731,1,False,False,False,True,False,False,False,False,True
216,-1.2094520685012027,False,False,34998.0,-1.6318716311026304,2,False,False,False,True,False,False,False,True,False
217,0.7932402742188699,False,True,12749.0,-0.06459045921402731,1,False,False,False,True,False,False,False,True,False
218,-0.4062395926568629,False,True,18853.0,-0.13435814254134193,2,False,False,False,True,False,False,False,True,False
219,1.0536510507530445,True,True,104999.0,0.5633186907318042,2,False,False,False,True,False,False,False,True,False
220,-0.574735115096278,False,True,16900.0,-0.09947430087768461,2,False,False,False,True,False,False,False,False,True
221,0.40783989778076063,False,True,14500.0,-0.9366865008054599,1,False,False,False,True,False,False,False,False,True
222,-1.25363954595891,False,False,53900.0,2.0797691219105072,1,False,False,False,True,False,False,False,True,False
223,-0.007283846098908467,True,True,47999.0,1.1563439990139783,2,False,False,False,True,False,False,False,True,False
225,-1.1218722609950529,False,True,93999.0,3.07495529051513,2,False,False,True,False,False,False,False,True,False
226,-0.5008999985217029,False,True,108900.0,2.141812526012297,2,False,False,False,True,False,False,False,True,False
227,0.5970660491045756,False,False,34998.0,-0.11691622170951327,1,False,False,False,True,False,False,False,True,False
228,1.0669603038176412,False,True,5000.0,-0.3000563904437141,1,False,False,False,True,False,False,False,True,False
